legislator,volunteer,date,typeOfContact,notes,support,state
Louis Blessing III,Nisha Patel,6/5/2017,Emailed legislator,Asked for a mtg in district or in Cbus on CAD Day. Also sent copy of the res.,2 - Not Confirmed,OH
Tom Brinkman Jr.,Nisha Patel,9/5/2017,Emailed legislator,Asked for a mtg in district or in Cbus on CAD Day. Also sent copy of the res.,2 - Not Confirmed,OH
Louis Blessing III,Nisha Patel,9/5/2017,Emailed legislator,"His aide, Maria Rimmel, replied to my email n said she will give our res fo the rep n let me know if he has any questions. I responded n said I hope he'd be willing to sit down w us. ",2 - Not Confirmed,OH
Jonathan Dever,Nisha Patel,9/6/2017,Emailed legislator,Meeting rep on CAD Day (9/26) at 130pm as follow up to our 1st mtg. Justin doesn't know the committee schedule that day yet but he said as of now they are free 130-3. He will let me know if there is any change.,1 - Supportive,OH
Wes Retherford,Martin Keeley,9/6/2017,Phone call with staff,I called the office to follow up on my email on 9-3 and talked to his aid Nick. He said he had received the email but was still waiting to hear back from the rep what times are open.He said check back the first of next week.,N/A,OH
Ron Young,Martin Keeley,9/6/2017,Phone call with staff,"I called the office to follow up on my email on 9-3. I talked to Joe his constituent liaison, he told me they did not receive my email so I resent it. he said he would give it to the legislative aid Bob and if I didn't hear back from him this week to call back Monday.",N/A,OH
Wes Retherford,Martin Keeley,9/11/2017,Left voicemail,Called office to follow up on meeting request. Left voicemail,2 - Not Confirmed,OH
Derek Merrin,Martin Keeley,9/11/2017,Left voicemail,Called office to follow up on meeting request.Left voicemail.,2 - Not Confirmed,OH
Mike Duffey,Martin Keeley,9/11/2017,Phone call with staff,Representative Boggs' office suggested we contact him. Called to follow up on meeting request and talked to Max. He said he would talk to the Rep. and see if he wants to set up a meeting and get back to me.,2 - Not Confirmed,OH
Kyle Koehler,Martin Keeley,9/11/2017,Phone call with staff,Called office to follow up on meeting request. Left voicemail.Got a call back that said he is familiar with our Resolution and is supportive of our cause but did not see a need for a meeting at this time since he understands it and is supportive already.,1 - Supportive,OH
Wes Young,Martin Keeley,9/11/2017,Phone call with staff,"Called office to follow up on meeting request. Left voicemail. Got a call back and spoke to his aid Bob, he said that the Rep. is familiar with our Resolution but is leaning against it. Does not think it is that big of a problem.",3 - Unsupportive,OH
John Barnes Jr.,Bob Richardson,9/11/2017,Phone call with Legislator,"Upon speaking with Rep. Barnes, we made a connection regarding my stance on charter schools and my role as an educator. When I brought up money in politics, he said, ""Of course I think it's an important issue,"" but later said that his focus is on jobs and education in Ohio, and that what I was concerned about seemed more like a federal issue. I then talked about Wolf-PAC and our resolution, and he seemed to perk up, mentioning that he knew about us and the Article V convention. He mentioned a bill had been written and was about to be voted on, but he wasn't clear on it. I suspect he's talking about a different Article V resolution, but he wasn't certain at this point. He said he spoke with our lead organizer. He voluntarily shared details about the Art V convention, which suggested that he understood some of its details, and seemed open to what we're proposing. He made it clear to me that he didn't feel comfortable attaching his name to ""hypothetical legislation,"" but that he would take it more seriously once it hits the floor. He requested a copy of our resolution and its language. I emailed this to him, and he said he would follow up with me later to discuss whether or not this is something he could support.",2 - Not Confirmed,OH
Scott Ryan,Martin Keeley,9/11/2017,Emailed legislator,Emailed Representative Ryan to see if we could get a meeting during CAD. I met with him before and he was very receptive and said he would help us . I am hoping he could help us find a Republican sponsor.,1 - Supportive,OH
John Becker,Nisha Patel,9/12/2017,Phone call with staff,"Called n spoke w his aide, Emily Swedberg, who Megan Miller n I had met w on CAD Day in June. She said she has spoken w Rep about us n he is very supportive but doesn't want to get too involved right now. I said it was fine if he didn't want to intro but we would still like to talk to him about strategy, advice, etc. She said she would call back about a mtg.",2 - Not Confirmed,OH
George Lang,Nisha Patel,9/12/2017,Phone call with staff,"Conditt has resigned. She was replaced w George Lang. I called n spoke w aide, William Gerhardt, who hasn't even met Lang yet. I emailed him a copy of our res n he said he would call back about a mtg time.",2 - Not Confirmed,OH
Alicia Reece,Nisha Patel,9/12/2017,Phone call with staff,"Spoke w aide, Iyadeh Davies, who I've spoken to before. Said he will call back w mtg time.",2 - Not Confirmed,OH
Candice Keller,Nisha Patel,9/12/2017,Phone call with staff,"Spoke w aide, Amanda. She said she'll call back tomorrow w mtg times.",2 - Not Confirmed,OH
Jim Butler,Nisha Patel,9/12/2017,Left voicemail,Left voicemail.,2 - Not Confirmed,OH
Louis Blessing III,Nisha Patel,9/12/2017,Left voicemail,Left voicemail.,2 - Not Confirmed,OH
Tom Brinkman Jr.,Nisha Patel,9/12/2017,Left voicemail,Left voicemail.,2 - Not Confirmed,OH
Tavia Galonski,Justin Fiorille,9/12/2017,Left voicemail,"Left voicemail to her personal cell, inviting her to meet with us 9/22, noting that we may possible decide on 9/21. Hope she calls back soon. Also thanked her for the ability to meet on 9/26 CAD.",1 - Supportive,OH
Wes Retherford,Martin Keeley,9/13/2017,Phone call with staff,I called the office to follow up but had to leave a voicemail. Got a call back from his aid Nick and was able to set up a meeting on Sept. 20th. at 12:00. Nick said he was not sure if the Rep. read our Resolution yet but he is supported of the Article V. Convention.,2 - Not Confirmed,OH
Derek Merrin,Martin Keeley,9/13/2017,Phone call with staff,"Called office to follow up , left voicemail. Got a call back from his aid. He said he did not know if the Rep. was going to be in office on the 26th but that he would check with the Rep. and get back with me.",2 - Not Confirmed,OH
Bill Patmon,Alexis,9/13/2017,Emailed legislator,"Responded to Alex's email about 9/20/17 meeting. We had originally discussed 3:00pm that day as a meeting time, but Alex's email said morning might be better. I replied saying that I am flexible that day and provided a few more details about what I expect the nature of the meeting to be. I mentioned again that Patmon had spoken with me on 6/28/17 and that he offered to talk to our group about our strategy in the House.",N/A,OH
Kathleen Clyde,Curtiss Wiggins,9/13/2017,Both a phone and an email,Staff redirected me to email again.,2 - Not Confirmed,OH
John Becker,Nisha Patel,9/15/2017,Left voicemail,Left voicemail.,2 - Not Confirmed,OH
Alicia Reece,Nisha Patel,9/15/2017,Left voicemail,Left voicemail.,2 - Not Confirmed,OH
George Lang,Nisha Patel,9/15/2017,Left voicemail,Left voicemail.,2 - Not Confirmed,OH
Candice Keller,Nisha Patel,9/15/2017,Left voicemail,Left voicemail.,2 - Not Confirmed,OH
Kent Smith ,Kyle Collins,9/18/2017,Phone call with staff,"spoke to his aide Mindy. She asked for a copy of the Resolution, which I sent. I asked for a meeting on September 26, but he is in district in Cleveland that day so will be unavailable. She said she would put the resolution on his desk tomorrow, as he will be in tomorrow, and communicate my request for a meeting or conference call and he will set it up, as he handles his own district schedule. ",2 - Not Confirmed,OH
Kent Smith ,Kyle Collins,9/18/2017,Emailed legislator,emailed a copy of the resolution ,2 - Not Confirmed,OH
Teresa Fedor,Kyle collins,9/18/2017,Phone call with staff,"asked for a copy of the Resolution, which I sent. She also set up a meeting for 11:00 pm on the day of CAD. ",2 - Not Confirmed,OH
Teresa Fedor ,Kyle Collins,9/18/2017,Emailed legislator,sent copy of the resolution ,2 - Not Confirmed,OH
Nickie Antonio,Kyle Collins,9/18/2017,Phone call with staff,"Taylor, the aide I spoke to, said that she had previously communicated with Wolf-Pac and that Nickie Antonio had said she would support it the resolution if it went to the floor. However, neither Taylor nor Antonio will be in Columbus next week, as she claimed the Legislature will not be in session. ",1 - Supportive,OH
Glen Holmes ,Kyle collins,9/18/2017,Left voicemail,"left message saying who I am, asking if he would support our resolution, and asking if he is able to meet with us on September 26 and left my phone number for him to call me back. ",2 - Not Confirmed,OH
Michael Ashford,Kyle Collins,9/18/2017,Phone call with staff,"Spoke to Vincent, he asked for a copy of the Resolution and set up a tentative meeting at 1:00 for CAD saying they have to check the committee schedule to make sure that there is no schedule conflict. I gave him my number to call if he has to reschedule. ",2 - Not Confirmed,OH
Christina Hagan ,Kyle Collins,9/18/2017,Left voicemail,Left voicemail asking if she would support our resolution and asking if she was available to meet on the 26th with me and/or other members of Wolf-Pac on that date. ,2 - Not Confirmed,OH
Glen Holmes ,Kyle Collins ,9/18/2017,Phone call with staff,"Christopher received my voicemail and called me back asking about what I had called for. I asked if Holmes would support our resolution and he asked me to send him a copy of the Resolution, which I did. I asked for a meeting on the 26th and was told Glen Holmes is not in Columbus that day, but that if there were any volunteers in Trumbull county who want to meet with him on that day, that can probably be set up ",2 - Not Confirmed,OH
Laura Lanese,Anthony Parker,9/18/2017,Left voicemail,Asked for position on campaign finance/ campaign finance reform,N/A,OH
John Barnes,Bob Richardson,9/19/2017,Phone call with staff,"I spoke to the same staff member I spoke to last week and she recognized me. I asked her if Representative had the opportunity to read through our draft proposal and had thoughts, and if I could speak to him directly. She said that he is still reviewing it closely, but after discussing it with his staff, he seemed to think that this is more of a federal issue and that I should reach out to them. I emphasized to her that this approach is specifically for the states to call for a convention in the event that the American people could not depend on Congress to amend the Constitution, as has been done with over half of our amendments in which the states called for a convention, citing the specifics regarding the 17th amendment and why this approach is so important because it directly impacts Congress' self-interests. It is our right and responsibility to use this method when the people believe the Constitution should be amended, with or without Congress' support. She said that this would be good for Representative Barnes to hear and that she will try to get him to call me back later today to discuss this. I also brought up meeting for CAD and she said to email her details on CAD. This line of thinking--that this is a federal issue--is similar to Rep. Barnes line of thinking during our conversation last week.",2 - Not Confirmed,OH
John Becker,Nisha Patel,9/9/2017,Left voicemail,Voicemail.,2 - Not Confirmed,OH
Alicia Reese,Nisha Patel,9/19/2017,Phone call with staff,"Talked to Iyadeh Davies. He said he hasn't been able to schedule me yet bc they don't know the committee schedule yet and therefore, he doesn't know if the Rep will be in Cbus or not. Said he'll call as soon as he knows.",2 - Not Confirmed,OH
George Lang,Nisha Patel,9/19/2017,Left voicemail,Voicemail.,2 - Not Confirmed,OH
Candice Keller,Nisha Patel,9/19/2017,Phone call with staff,"Spoke to her aide, Amanda Parsley. Amanda said the rep doesn't seem interested and doesn't want to take an active role in this issue. Amanda has no idea where the Rep stands on the issue of money in politics. I don't think it is worth pursuing her for now unless we get a volunteer in her district.",2 - Not Confirmed,OH
Jim Butler,Nisha Patel,9/19/2017,Left voicemail,Voicemail.,2 - Not Confirmed,OH
Louis Blessing III,Nisha Patel,9/19/2017,Left voicemail,Voicemail.,2 - Not Confirmed,OH
Tom Brinkman Jr.,Nisha Patel,9/19/2017,Left voicemail,Voicemail.,2 - Not Confirmed,OH
Jay Edwards,Justin Fiorille,9/19/2017,Phone call with staff,Aide Jake (Jacob?) said he would ask the rep about meeting for CAD and get back to me.,N/A,OH
John Barnes,Bob Richardson,9/19/2017,Phone call with staff,I spoke briefly with staff to schedule an 11:00 phone call with Rep. Barnes on Thursday.,2 - Not Confirmed,OH
Teresa Fedor,Bob Richardson,9/19/2017,Phone call with staff,I spoke briefly with staff over the phone about scheduling a time to talk to Rep. Fedor. I gave contact information.,2 - Not Confirmed,OH
Ryan Smith,Justin Fiorille,9/19/2017,Phone call with staff,"Aide Cameron (sp?) said that scheduler Grace will be in contact with Megan Miller about the CAD meeting since she called earlier today already. He was familiar with Wolf-PAC from working for a previous legislator, and sounded pleasant about it.",N/A,OH
Bill Seitz,Megan Miller,9/19/2017,Phone call with staff,"Aide Jimmy said the request was on his desk, will get back to me",N/A,OH
Daniel Ramos,Megan Miller,9/19/2017,Phone call with staff,Talked to aide Eric who said Ramos will be out that week but Eric is willing to meet at 9:30 on CAD,N/A,OH
Ryan Smith,Megan Miller,9/19/2017,Phone call with staff,talked to aide Cameron and said he sent request to scheduler,N/A,OH
Robert Sprague,Justin Fiorille,9/19/2017,Phone call with staff,"Aide Andrew says he's unavailable for CAD, but wants me to email info and consider meeting in the future. Rep is on 3 finance related committees, but aide says campaign finance reform hasn't been in rep's focus as far as he knows, and unsure of his stance.",N/A,OH
Robert Sprague,Justin Fiorille,9/19/2017,Emailed legislator,"Follow up to phone call, emailed resolution draft and color flier, with brief explanation of our agenda. Requested his opinion and future meeting or discussion.",N/A,OH
Bill Patmon,Alexis Alberts,9/19/2017,Emailed legislator,Emailed aide Alex to confirm meeting for Wednesday 9/20. Alex said that Patmon's availability had changed and he could meet with me at 12:30 that day. I took the meeting time and asked if there were any questions I could answer before the meeting. ,N/A,OH
Stephen Hambley,Amy Balsinger,9/20/2017,Left voicemail,Followed up with email,2 - Not Confirmed,OH
Paul Zeltwanger,Nisha Patel,9/21/2017,Emailed legislator,"Emailed his aide, Lori Sanders, asking for a follow up mtg on CAD Day. I said I wanted to follow up on our initial mtg and see what his thoughts are on the resolution, answer additional questions he might have, and talk to him about other legislators who he thinks might support us.",1 - Supportive,OH
Alicia Reece,Nisha Patel,9/21/2017,Left voicemail,Left voicemail.,2 - Not Confirmed,OH
John Barnes,Bob Richardson,9/21/2017,Phone call with Legislator,"I had an interesting conversation with Rep. Barnes. He started off the conversation by dominating the conversation, and I aggressively tried to get my points in. This did not have initial success, as he insisted on finishing what he had to say, but he eventually acquiesced and allowed me to speak. He then said he had limited time and was headed out of the office, but we talked for a good while after this. Important things he mentioned included:

- Five groups across nation trying to get this passed, and that different language in different states will not move our resolution forward, meaning it is symbolic in nature and won't amount to a ""Constitutional Convention,"" which he kept calling it and I corrected him on.
- Supreme Court ruled that corporations are people--and that he's as unhappy about that as I am--and because of that they can deem the amendment e're fighting for unconstitutional.
- He has no time at all to introduce this or sponsor it as that takes time away from his bills fighting for jobs and education.
- Impossible to get passed given the current climate in Columbus.
- There's simply no time this year to get this passed and maybe next year is better.

When he let me talk, I responded to these points by stating that the resolution is for Free and Fair Elections and that resolutions passed in other states would be consistent with our own. I stated that the Supreme Court cannot find an amendment unconstitutional because it becomes a part of the unconstitutional, and he insisted that this is not the case and it'll get thrown out. I further commented that this is a topic that has been reviewed by legal minds in the past and that the Supreme Court does not have the authority. I stated further that to do this is the whole point of amending the Constitution through Article V as it is for the people to go around the federal gov't for what 75% of the states view as necessary. He literally responded by telling me that is not correct and the Supreme Court has that authority, beginning to take an authoritative tones, so I let that rest and moved on. I insisted then that this is the most important issue right now and it is worth his time, because everything he is trying to get done now and in the future is impacted by money in politics. I also stated that if he is worried about the time investment, we are not asking him to introduce the resolution or even sponsor it, but would like to know if he could support it once it hits the floor. He said in firm, slow words, referencing that he told this to me last week (which he did), that he does NOT support hypothetical legislation and it doesn't make sense for him or any other legislator to vocally support something that hasn't even been written yet. I asked him if he'd be willing to help the LSC write the language, and there was a long pause. He then returned to the point of not having the time. I then asked if he supported what we're proposing conceptually, and he reiterated that he can't support something conceptually that hasn't been written. I rephrased and asked if he supported getting money out of politics and felt this was an important issue, and he said, ""Of course."" Note for future volunteers--this ""hypothetical legislation"" is a very important point to Rep. Barnes. When talking about the climate in Columbus, I said we have bipartisan support from leadership on both sides of the aisle who enthusiastically support what we're trying to do. I mentioned Tavares and Peterson. He seemed interested in this point, but did not comment too much. At this point, he said he had to get to his next meeting. I closed by thanking him emphatically for his time and respect, and that I appreciate all of his efforts and that I am proud to have him representing my district. He was very grateful for the kind words and mentioned grabbing coffee with me once back in district. I made sure to do this given research that indicated he has had problems within the Democratic party and may be in need of kind words! He agreed to meet with us during CAD and I set up a meeting time. I urge those meeting with him to review these notes closely.",2 - Not Confirmed,OH
Scott Ryan,Martin Keeley,9/21/2017,Phone call with staff,"I called office to follow up on meeting request. Spoke with aid, she said she would check with Rep. Ryan to see if there were any time available on the 26th. and get back with me. I emailed a copy of our resolution. I will call back tomorrow if I don't hear back from her.",2 - Not Confirmed,OH
Mike Duffey,Martin Keeley,9/21/2017,Left voicemail,Called to follow up on meeting request. Left voicemail,2 - Not Confirmed,OH
Christina Hagan,Martin Keeley,9/21/2017,Emailed legislator,I emailed her office and called and left a voicemail requesting a meeting,2 - Not Confirmed,OH
David Leland,Martin Keeley,9/21/2017,Emailed legislator,I emailed his office and called and left a voicemail requesting a meeting.,2 - Not Confirmed,OH
Jay Edwards,Justin Fiorille,9/21/2017,Phone call with staff,"Rep likely not in during CAD, but meeting set up with aide Jacob (90% sure he said Jacob, could have been Jake) at 11:00am Riffe Building 11th floor office. ",N/A,OH
Bill Patmon,Alexis Alberts,9/20/2017,Met Legislator,"Martin Keeley and I met with Rep. Patmon and aide Alex Strickmaker. We started the meeting by discussing the article that Patmon co-wrote with Rep. Hagan published 9-18-17. Rep. Patmon said that putting his name on the article isn't a big deal for him, because he's been a proponent of calling for an Article V convention for ""a few years now."" We asked what Article V resolutions or efforts Patmon supports, and he indicated that he's fully on board with Convention of States and the Balanced Budget efforts. When we asked why that resolution appeals to Patmon and why he thinks it'll be successful, he said that the concept of a balanced budget is something everyone can agree on, across the nation. I mentioned that our resolution is more focused and limited than the BB, and Patmon posed the question, “how do you separate the issues of campaign finance reform and balancing the budget?” He explained that we will likely only get one chance at an Article V convention. He then discussed cutting the EPA and the Dept. of Education, along with a few other disjointed points of conversation. We asked who Patmon would recommend as potential sponsors, and he mentioned Huffman in the Senate, but didn’t mention anyone in the House. Aide Alex told me to call Friday about setting up a meeting for Tuesday 9/26 CAD. // Martin’s notes: Patmon did not seem enthusiastic about our cause. He expressed concerns that special interest groups could still spend a lot of money on commercials. He said that we would have to cover all aspects of campaign finance because we could not go back in a year or two and revise it.But the way he said it sounded like he didn't think it could be done. He is more interested in BBA but he did say he would support us. He suggested that we speak with Huffman in the Senate but checking the LCR I see we have spoken with him and that did not go well.",1 - Supportive,OH
Jonathan Dever,Nisha Patel,9/21/2017,Emailed legislator,"Emailed rep's aide, Justin Hucke, to confirm time of our mtg on CAD day. Also asked him if Rep had had discussions about our res w other legislators. Justin said he had but he wasn't sure of the details of the convos.",1 - Supportive,OH
Wes Retherford,Martin Keeley,9/20/2017,Met Legislator,"Alexis and I met with Retherford in his Columbus office.
Retherford mentioned right away that he still has hesitations about Article V conventions. He did a quick internet search for Article V and started reading the language to us. He lingered on the language about Congress choosing the mode of ratification. He also expressed discomfort with the lack of explicit time frame for Congress to call a convention. Conversation turned to a runaway convention, and when Martin mentioned ratification as a safeguard against a runaway, Retherford explained that the people who attend an Art V conference will likely be politically savvy and will be able to persuade across states' borders. We brought up the way delegates will likely be selected, and Retherford repeated the idea that all of the discussion surrounding Article V is theoretical. 
Retherford expressed concerns that Congress could somehow control the convention 
I also have notes about what he mentioned that indicate his political disposition. He expressed the idea that apathy on the part of the citizens contributes equally with big donations to the corruption we see in federal politics.I tried to make the point that much of the voter apathy is because of the big donations that cause the corruption in the federal government, that people feel that they have no influence in what happens there. He seems to place responsibility on the individual, rather than the system. If we can find a way to appeal to that, and to quell his concerns about a runaway convention/Congress controlling or impeding the convention, we could likely get him on board as supporting, if not co-sponsoring. ",2 - Not Confirmed,OH
Wes retherford,Martin Keeley,9/21/2017,Emailed legislator,I emailed Retherford to thank him for the meeting yesterday and let him know we are researching a response to his concerns. I asked if he had seen the article that Hagan had co wrote with Patmon in support of the use of article V. and sent him a copy of it.,2 - Not Confirmed,OH
Bill Patmon,Alexis Alberts,9/21/2017,Emailed legislator,Sent email to aide Alex thanking him and Rep. Patmon for meeting with us. Mentioned that I've been researching some of the things we discussed at our meeting and that I'd like another meeting to follow up. Asked about 9/26 and said I'd call the office per Alex's suggestion on 9/22.,N/A,OH
Emilia Strong Skyes,Jennifer Gilbert,9/22/2017,Phone call with staff,Sarah,N/A,OH
Christina Hagan,Martin Keeley,9/22/2017,Phone call with staff,Called office to follow up on meeting request and spoke to aid Elizabeth. She said that Representative Hagan has met with Wolf- pac before and is aware of what we are trying to do. She is supportive of the use of article V but would have to wait and see what the final language of the Resolution is when it gets to the floor.She does not want to take a meeting at this time.,2 - Not Confirmed,OH
Mike Duffey,Martin Keeley,9/22/2017,Left voicemail,"Called office to follow up on meeting request, left voicemail.",2 - Not Confirmed,OH
Scott Ryan,Martin Keeley,9/22/2017,Left voicemail,"Called office to follow up on meeting request, left voicemail.",2 - Not Confirmed,OH
Derek Merrin,Martin Keeley,9/22/2017,Left voicemail,"Called office to follow up on meeting request, left voicemail.",2 - Not Confirmed,OH
Jim Huges,Martin Keeley,9/22/2017,Emailed legislator,"Called office, left voicemail and emailed office to request meeting.",2 - Not Confirmed,OH
Bill Patmon,Alexis Alberts,9/22/2017,Phone call with staff,"Called aide Alex, as I'd agreed to, and set up follow-up meeting with Alex on 9/26 at 10:00. I told Alex we planned to follow up on some points Rep. Patmon made at our last meeting. Alex said he'd take what we have to say back to the rep and that Patmon would then decide if he wanted to have another meeting with us. ",1 - Supportive,OH
Paul Zeltwanger,Nisha Patel,9/25/2017,Left voicemail,Asked for mtg tomorrow. Left msg.,1 - Supportive,OH
Tavia Galonski,Justin Fiorille,9/25/2017,Phone call with staff,"Spoke with aide Bailey. Rep Galonski will not be in town during CAD, so we will be meeting Bailey instead. Same time, 10am.",N/A,OH
Richard Beown,James Hull,9/26/2017,Phone call with staff,"Aides name is Brandon, need to call back about setting up a meeting by 9/29",2 - Not Confirmed,OH
Bernadine Kent,James Hull,9/26/2017,Phone call with staff,Need to call about setting up meeting 9/29,2 - Not Confirmed,OH
Hearcel Craig,James Hull,9/26/2017,Met with staff,"Met with Shae, left information and call back 9/29 to set up meeting",2 - Not Confirmed,OH
John Barnes Jr.,Anthony Coble,9/26/2017,Emailed legislator,We emailed the Rep. and his aide the DOJ report.,1 - Supportive,OH
John Rogers,Martin Keeley,9/26/2017,Met with staff,CAD walk-in Kyle and I were able to get a sit down with Representative Roger's aid mike who Kyle has spoken to before. After giving him a copy of our Resolution and going over what we are trying to do he said he thought Representative Rogers would support our Resolution but could not say for sure. He said that Representative Rogers has some issues with the wording but did not specify what they were.When asked if we could set up a meeting with Rogers he gave us list of three possible dates for a meeting in Columbus. Since Kyle is a constituent he is going to follow up with their office to try to set up a meeting in district.,2 - Not Confirmed,OH
John Patterson,Martin keeley,9/26/2017,Met with staff,CAD walk-in Kyle and I were able to speak with Representative Patterson's aid Steve. After giving him a copy of our Resolution and explaining what we are trying to do we asked if we could get some time to sit down with Patterson and was able to schedule a meeting for Wednesday Sept. 27th. at 8:30.,2 - Not Confirmed,OH
Jack cera,Martin Keeley,9/26/2017,Met with staff,CAD Walk-in Kyle and I talked to Cera's aid and after giving her a copy of our Resolution and explaining what we are trying to do we asked if we could get a meeting with Rep. Cera. She said she would speak with Cera to see if a meeting could be scheduled I will call the office Friday to follow up.,2 - Not Confirmed,OH
Rick Perales,Martin Keeley,9/26/2017,Met with staff,"CAD Walk-in Kyle and I spoke with aid Kevin who took our information and said he would pass it on to Nick who handles the scheduling.I will call the office Friday to follow up. I am hoping for a meeting with him because he is a former commander at Wright Patterson and my daughter is presently stationed at Wright Pat. Also he is on the armed services, veterans affairs, and homeland security committee with Representative Adam Miller who I had a good meeting with. I am hoping that Representative Miller can possibly help persuade Perales to support us.",2 - Not Confirmed,OH
Tim Schaffer,Martin Keeley,9/26/2017,Met with staff,CAD Walk-in Kyle and I spoke with Schaffer's aid Mark. After giving him a copy of our Resolution and explaining what we are trying to do we asked if we could get a meeting with Representative Schaffer. He said he would speak to Schaffer to see what times might be available . Said to call the end of the week.,2 - Not Confirmed,OH
Derek Merrin,Martin Keeley,9/27/2017,Phone call with staff,Meeting ... I got a call back from Representative Merrin's aid Blake and I have a meeting with Rep. Merrin on Oct. 4th. at 11:30.,2 - Not Confirmed,OH
John Boccieri,Nisha Patel,9/26/2017,Met with staff,"Met his aide Julia as a walk in on CAD Day. Gave her mats and info. She said Rep was pro-CFR but anti-Art V. We talked about how our Art V res is different, etc etc. Said we would follow up.",2 - Not Confirmed,OH
John Boccieri,Nisha Patel,9/27/2017,Emailed legislator,Emailed Julia n thanked her for her time.,2 - Not Confirmed,OH
Michael O'Brien,Nisha Patel,9/26/2017,Met with staff,"Tried to get a walk in mtg on CAD Day. His aide, Anita Pallenio, came out n gave us her card n said he couldn't meet today. I left mats n info w her.",2 - Not Confirmed,OH
Michael O'Brien,Nisha Patel,9/27/2017,Emailed legislator,"Emailed his aide, Anita Pelino, n thanked her n said we would follow up when the rep has had a chance to look at the mats.",2 - Not Confirmed,OH
Bill Dean,Nisha Patel,9/26/2017,Page,Tried to get walk in mtg on CAD Day. The page called back n they said they're busy all day.,2 - Not Confirmed,OH
Jonathan Dever,Nisha Patel,9/26/2017,Met with staff,"Megan Miller, Alexis Alberts n I met w Justin Hucke. Things Justin n Dever suggest: 1) tie our issue into a specific issue that affects OH (Issue 2, marijuana, etc etc). 2) Tom Brinkman might be good sponsor for us. 3) Zeltwanger might be good 2nd sponsor/advocate. Zeltwanger's aide, Lori, is well liked and might be able to help us a lot n give advice. 4) talk to Hagan and Roegner more for strategy advice. 5) Dever will draft our res w LSC as soon as we iron out the delegate selection language.
Justin confirmed in an email afterwards that Dever has agreed to draft the Res but won't intro. I replied n thanked them for all of their help.",1 - Supportive,OH
Stephen Huffman,Nisha Patel,9/26/2017,Met with staff,"Got walk in mtg w his aide, September Long. Told her what we're about, left mats, said we'd follow up.",2 - Not Confirmed,OH
Stephen Huffman,Nisha Patel,9/27/2017,Emailed legislator,"Emailed his aide, September Long, n thanked her for her time.",2 - Not Confirmed,OH
Tom Brinkman Jr.,Nisha Patel,9/26/2017,Page,Tried to get walk in on CAD Day but the page said they weren't in. Left mats for him w the page.,2 - Not Confirmed,OH
Tom Brinkman Jr.,Nisha Patel,9/27/2017,Phone call with staff,"Called n spoke to Makayla. She took my info n said she'd call back w mtg time. I told her Dever suggested we talk to him n that he thought Brinkman would be rly interested in our issue. Also told her that if I wasn't able to meet w Brinkman, someone else from Wolf PAC would. Martin Keeley said he prob could.",2 - Not Confirmed,OH
Bill Patmon,"Alexis A, Ted G, Garrett B",9/26/2017,Met with staff,"CAD: Alexis, Garrett, and Ted met with Rep Patmon's aide Alex. Patmon is a strong supporter of us, so this meeting helped build our relationship with his office. Alex was more blunt and to the point than rep Patmon, who is generally quiet and has a rough edge, but Alex said not to take this as a bad sign. Alex went on to say that we needed to be more focused in our arguments for pitching campaign finance reform to legislator we are targeting, such as outside money influencing elections. He then talked about how Ohio is big on transparency, where we used to be 48 in the country, we are now 2. This was because the sponsor for our resolution won't necessarily be a delegate at the convention, so they need to be very passionate and be doing it to become a delegate. While Patmon has about 16 bills as well as committees he's on, which isn't unusual, one more resolution isn't a big issue. Patmon wants things coming though his office to be successful. Alex will check with Patmon about drafting our resolutions language through LSC. Alex recommends we talk to Hagan and Huffman, but Hagan is less likely to help much since she is running for a congressional seat, so it would be best to wait until that is finished to approach her since Hagan probably doesn't want to leave us high and dry. Since we need a republican to sponsor for our resolution to go anywhere Patmon we won't have sponsor. Also Patmon is term limited, so we only have 1 year and 3 months with him. We will follow up in a week.",1 - Supportive,OH
Tavia Galonski,Justin Fiorille,9/26/2017,Met with staff,"CAD, met with aide Bailey since rep was out of town. She was not already familiar with resolution or our group at all, even though all the materials have reached her by email. She's plenty polite and pleasant, but was uninterested and not helpful. Soon I will book a meeting with the rep when other volunteers can attend, as she wanted to meet more of us.",N/A,OH
Dan Ramos,Martin Keeley,9/26/2017,Met with staff,"Kyle and I met with Ramos' aid and after giving him a copy of our Resolution he asked if there were any changes in it.He implied that Ramos was still in support of our issue. He suggested we speak with Representatives Retherford and Hagan. I told him we had talked to Retherford and are working on addressing his concerns and that Hagan is focused on the BBA. He also said that if we want to find Republican sponsors that we should talk to the more right wing members of the party in Ohio who have a tendency to buck their own party. But I think we don't want Representative who will buck their own party, we want Representatives who will bring the party with them. He asked if we could do a union with the Convention of the States people, and I explained that while we could decide to lend support to their push, or they could decide to lend support to ours, we could not do a united resolution as the resulting language would be too dissimilar to the language of the Resolutions that both our supporting states and their supporting states had already passed and that all those states would have to repass resolutions with the new language.",1 - Supportive,OH
Jay Edwards,martin Keeley,9/26/2017,Met with staff,CAD meeting Kyle and I met with Edwards' aid Jacob who said he did not know Edwards' position on the issue He said he would talk to Edwards to pass on our information and see if we could set up a meeting. He seemed to be in a rush to end the meeting. I said I would call their office Friday to follow up.,2 - Not Confirmed,OH
